meter,total_consumption,avg_consumption,std_dev,peak,missing_pct,segment,volatility
MAC001465,4937.0069984,0.3176149638703037,0.2738465603670598,3.2309999,11.278538812785389,Industrial,0.8594905808583823
MAC001467,4521.3240006,0.2582285681992118,0.20881969608966242,2.3740001,0.06278538812785388,Industrial,0.8055427591961577
MAC001468,4243.446,0.2422058219178082,0.12638457313277077,1.989,0.0,Industrial,0.5196609691995064
MAC001469,9891.7130009,0.5650147370137659,0.6840194876261969,5.9169998,0.07420091324200913,Industrial,1.2084835303670918
MAC001472,2147.6259996000003,0.12259538757849071,0.1132730077792697,1.989,0.01141552511415525,Residential,0.9164824836795332
MAC001473,3008.1640001,0.17169885845319635,0.1195254275692849,1.262,0.0,Commercial,0.6921031710332808
MAC001474,1966.0039998000002,0.11222124549346425,0.08307835604073566,1.4680001,0.005707762557077625,Residential,0.7337700241562118
MAC001478,1166.916,0.08158540166398658,0.09307865316795212,1.704,18.36187214611872,Residential,1.1270593990286468
MAC001479,12632.578004899999,0.7212433916585783,0.5492332476649476,4.73,0.028538812785388126,Industrial,0.7604545143759284
MAC001481,2301.924,0.1314033565475511,0.16908487658338664,1.021,0.01141552511415525,Residential,1.277043732064767
MAC001483,1063.68,0.060771296349197285,0.07682766113479994,0.996,0.09703196347031963,Residential,1.2437437074412039
MAC001484,3943.4819996000006,0.22508458901826486,0.18902391613307606,2.2650001,0.0,Commercial,0.8360760764538676
MAC001485,1928.3060003,0.11006312787100457,0.16342030072910935,1.2460001,0.0,Residential,1.471418137249975
MAC001486,6454.976999400001,0.36851889697419504,0.3109190542392636,3.257,0.0228310502283105,Industrial,0.841415843100918
MAC001488,3065.456,0.1749689497716895,0.13386077749691577,0.985,0.0,Commercial,0.7607068046413479
MAC001489,2221.723,0.12709358732337966,0.08721478618731475,0.836,0.2226027397260274,Residential,0.6808677000132409
MAC001490,2224.8959999,0.12701352970828336,0.11698367083906339,1.1900001,0.017123287671232876,Residential,0.9138383349451049
MAC001491,3771.8960008,0.2153277388137238,0.23400405235713367,2.1949999,0.017123287671232876,Commercial,1.0817108043579684
MAC001492,2038.9670001,0.11641261776191836,0.098133369599421,1.638,0.028538812785388126,Residential,0.835799179594219
MAC001493,3531.1969990000002,0.20159836715003426,0.22285313344955243,2.701,0.0228310502283105,Commercial,1.099974973068359
MAC001494,1852.72,0.10574885844748859,0.07267713086384557,0.821,0.0,Residential,0.6808234947036607
MAC001496,2729.9809999,0.15582972771847708,0.13420627602959098,1.824,0.005707762557077625,Commercial,0.8557451318827949
MAC001497,1670.5820002,0.0953691842324599,0.10571274964681898,2.3710001,0.017123287671232876,Residential,1.096955945915457
MAC001498,2939.3680001000002,0.16780087915168124,0.24576133998927296,2.3080001,0.017123287671232876,Commercial,1.4559245261302018
MAC001499,3564.6929993999997,0.20352229514130743,0.3069915338488659,3.2869999,0.028538812785388126,Commercial,1.501017449646558
MAC001500,2121.161,0.12108465578262359,0.13346999911145507,1.766,0.01141552511415525,Residential,1.0932577747452843
MAC001501,2195.846,0.1256779990842491,0.10373101037249384,1.175,0.273972602739726,Residential,0.8188557691340387
MAC001502,6312.5730012,0.36030667815068496,0.35019019663590367,3.3759999,0.0,Industrial,0.9692325600742284
MAC001503,1923.5100000000002,0.10981445535510392,0.05031473478691322,0.663,0.0228310502283105,Residential,0.4540448682952067
MAC001504,1162.444,0.06636469513587577,0.05545631757394323,0.399,0.0228310502283105,Residential,0.8232252437584237
MAC001506,4141.3960001,0.23638105023401823,0.26502004206793267,2.312,0.0,Industrial,1.116433016901168
MAC001507,5894.4329996,0.3366131574210496,0.18256601177300433,2.0009999,0.05136986301369863,Industrial,0.54075502615948
MAC001510,8243.0410004,0.47049320778538817,0.506664320993557,3.994,0.0,Industrial,1.0745951641029319
MAC001511,3761.0460001,0.21470834047496717,0.13889635640679288,1.642,0.017123287671232876,Commercial,0.6439081405056367
MAC001513,3825.896,0.21841045841182852,0.10833025634419559,1.107,0.017123287671232876,Commercial,0.4937333303450017
MAC001514,14366.318995399997,0.820042182510417,0.5767135169014719,4.8530002,0.005707762557077625,Industrial,0.7024164277870762
MAC001515,3306.6730000000002,0.18885561711119997,0.09073792027253962,1.2640001,0.06278538812785388,Commercial,0.4779311860938709
MAC001516,3692.1510011,0.21077530405320546,0.29792850826665884,2.355,0.017123287671232876,Commercial,1.4068142156547614
MAC001517,2226.688,0.1271158303362448,0.12357732900734528,1.225,0.017123287671232876,Residential,0.9645750153046032
MAC001518,4044.3969977999996,0.23085775431246072,0.3706469382388107,3.3169999,0.005707762557077625,Commercial,1.5985962571659869
MAC001519,3150.702,0.1798345890410959,0.07594589460436439,1.466,0.0,Commercial,0.41997438104667667
MAC001520,1367.6340002000002,0.0780657571893373,0.11598747691817786,1.775,0.005707762557077625,Residential,1.4669748452598108
MAC001521,4692.655,0.26784560502283106,0.15256789911197427,2.0090001,0.0,Industrial,0.5674926287116273
MAC001522,6390.694998999999,0.3647865174382099,0.45697866849399726,3.22,0.005707762557077625,Industrial,1.249304298295226
MAC001523,5327.7899994,0.3041844133257208,0.1888091176588542,1.613,0.028538812785388126,Industrial,0.6186722172384989
MAC001524,6792.424999,0.38771762081169014,0.38252716003827986,2.882,0.005707762557077625,Industrial,0.9840746587188822
MAC001525,2159.449,0.12325622146118721,0.06764766826873363,1.668,0.0,Residential,0.5444207740524616
MAC001526,618.4329994999999,0.035298687186073055,0.10953280230080867,3.2739999,0.0,Residential,3.017541701696413
MAC001527,1654.1139997,0.09442906888736656,0.10841316891760623,1.35,0.017123287671232876,Residential,1.1360602191934264
MAC001528,5762.6709995,0.32891957759703194,0.2174680298944077,2.8280001,0.0,Industrial,0.6591546687781771
MAC001530,3265.2470001,0.18641510619433663,0.14931424154337797,1.681,0.0228310502283105,Commercial,0.7967033425179149
MAC001531,3711.0060004,0.21187587784184986,0.14776364864480485,2.5009999,0.028538812785388126,Commercial,0.6941305428442281
MAC001532,3185.1610012,0.18181180439522804,0.22830680755568908,4.3060002,0.005707762557077625,Commercial,1.2488625026757223
MAC001533,2777.6449998,0.1585685334132557,0.201167358252633,2.296,0.017123287671232876,Commercial,1.2606956644242842
MAC001534,4862.8270003,0.2776061540389336,0.19547456824418002,1.949,0.017123287671232876,Industrial,0.7016161179873421
MAC001535,1836.4949999,0.1048347414031282,0.16969277958707718,2.7839999,0.01141552511415525,Residential,1.6033750102975306
MAC001539,3471.3739998000005,0.19814909525657862,0.31710756422650027,3.586,0.005707762557077625,Commercial,1.5923123517982694
MAC001540,2168.7139998999996,0.12384866654674202,0.08968569929390967,1.1619999,0.05136986301369863,Residential,0.7183552838374312
MAC001541,5942.1430011,0.33916341330479455,0.3695422999295078,3.8150001,0.0,Industrial,1.0863669797386148
MAC001543,1961.4690002,0.11196877498572896,0.11640118686845852,1.395,0.01141552511415525,Residential,1.0303837222556689
MAC001544,6404.332997700001,0.3661501913955749,0.3962954865469754,2.9260001,0.16552511415525115,Industrial,1.0793824866075006
MAC001545,1694.9279999999999,0.0968198332000457,0.042437021068285515,0.635,0.07990867579908677,Residential,0.4338283932819637
MAC001546,3585.3630000999997,0.20464400685502282,0.17616116940653498,1.938,0.0,Commercial,0.856631671890769
MAC001548,7044.6549984,0.40211513205091615,0.2903738330193205,2.7679999,0.005707762557077625,Industrial,0.7203248152506574
MAC001549,3276.6989992000003,0.18704755104463983,0.16417396822897776,1.618,0.01141552511415525,Commercial,0.873044968237875
MAC001550,5254.1079996,0.299892009109589,0.4227291205867865,2.9749999,0.0,Industrial,1.4049197312941026
MAC001551,2236.5789994,0.12766590555396998,0.19685725673337026,2.645,0.005707762557077625,Residential,1.5299877297393043
MAC001552,2782.436,0.15883297180043385,0.12620319355081236,1.499,0.01141552511415525,Commercial,0.7895942378421684
MAC001553,2462.4120003,0.1407253400560064,0.14684203613841434,2.0739999,0.12557077625570776,Commercial,1.036102902137232
MAC001555,2761.0010009,0.1576003767852046,0.23743386066439776,2.5639999,0.005707762557077625,Commercial,1.4970573555821924
MAC001557,2870.721001,0.1638820003996118,0.25306962076432366,3.266,0.017123287671232876,Commercial,1.5348529260378836
MAC001558,1392.3490000000002,0.07947197488584476,0.09421283113892848,0.933,0.0,Residential,1.170753312225481
MAC001560,3855.644,0.2201338281473023,0.10519293690335395,0.908,0.028538812785388126,Commercial,0.4756980774252346
MAC001561,5850.2200008,0.3339357269707175,0.3562987720766048,2.802,0.005707762557077625,Industrial,1.063782521199224
MAC001562,7828.6680037,0.446841781033105,0.5354651724249916,4.5999999,0.0,Industrial,1.1956570268851474
MAC001563,5312.5310005,0.3032439637250985,0.2844546036812906,4.099,0.005707762557077625,Industrial,0.9349556198206493
MAC001565,2494.906,0.14241956844388629,0.07775188931649027,0.987,0.01141552511415525,Commercial,0.5421288751605129
MAC001567,4101.5489999,0.23412004109252813,0.27113598936828914,2.4100001,0.005707762557077625,Industrial,1.1531811074394438
MAC001568,1923.4759999000003,0.10979997716063479,0.11391829089842831,1.284,0.01141552511415525,Residential,1.028143631593648
MAC001569,4499.5690008,0.2568393744391803,0.19616213652484696,3.3610001,0.005707762557077625,Industrial,0.7607920122809563
MAC001570,5508.351998600001,0.31443954781367744,0.3119153454129756,3.2420001,0.01141552511415525,Industrial,0.9888276456610207
MAC001571,12509.537003599999,0.714014669155251,0.7403817141243544,4.5180001,0.0,Industrial,1.035477656701887
MAC001572,2928.8250001,0.16717991895085338,0.11581281156335214,1.332,0.005707762557077625,Commercial,0.6886244938505156
MAC001573,1930.0800000000002,0.11046703296703297,0.0753591697484133,0.9,0.273972602739726,Residential,0.6760668849120727
MAC001574,1702.943,0.09719994292237442,0.06804531157390593,1.801,0.0,Residential,0.6929261825304188
MAC001575,7111.1399992,0.40591015464352986,0.3290912652986637,3.1930001,0.005707762557077625,Industrial,0.8087565806436099
MAC001578,4336.081,0.2474932077625571,0.12500468469827075,1.211,0.0,Industrial,0.5030507104150572
MAC001579,9123.391996600001,0.5207712767052914,0.3566757317071273,4.0019999,0.005707762557077625,Industrial,0.6835863674967797
MAC001580,4371.3999988,0.2500371789052222,0.2751033223939827,3.0739999,0.21118721461187215,Industrial,1.095866849658339
MAC001581,3221.1419996,0.1838551369634703,0.1688032195691189,2.0409999,0.0,Commercial,0.9131648832808824
